year, month, day, sat, rainfall volume (mm), runoff volume (mm), sediment yield (kg/ha)
0001,01,28,      0.2500,      5.4000,      0.0025,      0.0000
0001,03,08,      0.2500,      3.7572,      0.0000,      0.0000
0001,03,12,      0.2500,      4.2000,      0.0000,      0.0000
0001,05,03,      0.2500,     16.7000,      2.3008,    259.1495
0001,05,18,      0.2500,     15.1000,      0.7518,     78.1598
0001,05,30,      0.2500,      9.1000,      0.0038,      0.0000
0001,07,13,      0.2500,     13.3000,      4.2609,    673.5385
0001,07,18,      0.2500,      3.2000,      0.0064,      3.0945
0001,07,19,      0.2500,      2.3000,      0.0000,      0.0000
0001,07,20,      0.2500,      4.8000,      0.0035,      0.7210
0001,08,02,      0.2500,      2.4000,      0.0000,      0.0000
0001,08,03,      0.2500,      6.4000,      0.0034,      0.0000
0001,08,04,      0.2500,     10.1000,      0.8541,    118.6789
0001,08,10,      0.2500,     18.9000,      9.0637,   1294.7645
0001,08,30,      0.2500,      2.2000,      0.0000,      0.0000
0001,08,31,      0.2500,      7.6000,      0.0006,      0.0000
0001,09,01,      0.2500,      1.9000,      0.0000,      0.0000
0001,09,25,      0.2500,      8.1000,      0.0010,      0.0000
0001,09,26,      0.2500,     17.7000,      3.6862,    399.7217
0001,10,17,      0.2500,     13.1000,      0.1358,     33.4793
0001,10,24,      0.2500,      7.2000,      0.0001,      0.0000
0001,11,21,      0.2500,      6.0000,      0.0001,      0.0000
0001,12,03,      0.2500,      4.5000,      0.0025,      0.0000
0002,04,27,      0.2500,      1.7000,      0.0000,      0.0000
0002,04,30,      0.2500,      7.3000,      0.0004,      0.0000
0002,05,05,      0.2500,     22.7000,      0.1010,     17.8172
0002,05,15,      0.2500,     24.3000,      2.8936,    201.4058
0002,05,24,      0.2500,      5.4000,      0.0012,      0.0000
0002,05,31,      0.2500,     10.4000,      1.3933,    170.5655
0002,06,05,      0.2500,      5.5000,      0.0003,      0.0000
0002,06,06,      0.2500,      6.0000,      0.0062,      2.0252
0002,06,16,      0.2500,     11.8000,      1.4441,    218.6587
0002,06,17,      0.2500,      2.6000,      0.0000,      0.0000
0002,07,03,      0.2500,      5.8000,      0.0018,      0.0000
0002,07,04,      0.2500,      2.5000,      0.0000,      0.0000
0002,08,14,      0.2500,      2.2000,      0.0000,      0.0000
0002,08,15,      0.2500,      5.5000,      0.0004,      0.0000
0002,08,16,      0.2500,     17.2000,      4.3838,    492.1959
0002,08,24,      0.2500,      2.8000,      0.0003,      0.0000
0002,09,12,      0.2500,     10.5000,      0.6227,    101.4412
0002,09,16,      0.2500,      2.7000,      0.0000,      0.0000
0002,09,24,      0.2500,     15.6000,      0.0614,     18.7178
0002,10,02,      0.2500,     62.6000,     36.4212,   3660.0789
0002,10,18,      0.2500,     16.8043,      0.0000,      0.0000
0003,03,03,      0.2500,     18.3610,      5.2965,    636.4823
0003,04,17,      0.2500,      4.0000,      0.0000,      0.0000
0003,05,26,      0.2500,      9.4000,      0.0019,      0.0000
0003,06,03,      0.2500,      8.1000,      0.1773,     60.5911
0003,06,04,      0.2500,     25.6000,     10.8664,    984.9892
0003,06,13,      0.2500,     18.6000,      5.9521,    581.1631
0003,06,21,      0.2500,      3.6000,      0.0003,      0.0000
0003,06,22,      0.2500,      6.8000,      0.0298,     19.5110
0003,07,01,      0.2500,     14.2000,      3.2441,    335.7955
0003,07,15,      0.2500,      8.0000,      0.4748,    110.2332
0003,07,19,      0.2500,      6.8000,      0.0170,      9.8462
0003,07,23,      0.2500,      7.0000,      0.0045,      0.0000
0003,08,10,      0.2500,      2.3000,      0.0000,      0.0000
0003,08,19,      0.2500,      6.5000,      0.0401,     15.9361
0003,08,20,      0.2500,      2.2000,      0.0000,      0.0000
0003,09,03,      0.2500,      4.9000,      0.0002,      0.0000
0003,09,04,      0.2500,      8.3000,      0.0029,      0.0000
0003,09,19,      0.2500,     13.3000,      2.3883,    273.0897
0003,10,25,      0.2500,     11.0000,      0.0273,     11.1986
0004,02,28,      0.2500,      3.1000,      0.0008,      0.0000
0004,05,03,      0.2500,     23.3816,      5.3159,    444.6303
0004,05,04,      0.2500,      4.5000,      0.0000,      0.0000
0004,05,05,      0.2500,      6.7000,      0.0000,      0.0000
0004,05,21,      0.2500,     14.5000,      0.0577,     18.7335
0004,05,31,      0.2500,      3.5000,      0.0000,      0.0000
0004,06,03,      0.2500,      8.4000,      1.1147,    210.4576
0004,06,05,      0.2500,      1.8000,      0.0000,      0.0000
0004,06,20,      0.2500,     11.8000,      0.4276,     71.9407
0004,06,29,      0.2500,      2.9000,      0.0000,      0.0000
0004,07,05,      0.2500,      9.2000,      0.4304,     89.3204
0004,07,06,      0.2500,      0.8000,      0.0000,      0.0000
0004,07,12,      0.2500,      4.6000,      0.0022,      0.0000
0004,07,15,      0.2500,     12.0000,      2.7826,    400.1243
0004,07,22,      0.2500,      2.5000,      0.0000,      0.0000
0004,07,24,      0.2500,     15.0000,      3.5340,    364.3506
0004,07,31,      0.2500,      4.6000,      0.0021,      0.0000
0004,08,03,      0.2500,      3.0000,      0.0000,      0.0000
0004,08,05,      0.2500,     12.0000,      4.3417,    800.3300
0004,08,09,      0.2500,      1.9000,      0.0000,      0.0000
0004,08,11,      0.2500,      3.8000,      0.0059,      2.8368
0004,09,14,      0.2500,      3.8000,      0.0000,      0.0000
0004,09,15,      0.2500,      4.6000,      0.0001,      0.0000
0004,09,27,      0.2500,      7.9000,      0.0000,      0.0000
0004,09,30,      0.2500,      2.7000,      0.0000,      0.0000
0005,02,13,      0.2500,      2.2000,      0.0000,      0.0000
0005,04,05,      0.2500,      6.5000,      0.0005,      0.0000
0005,04,15,      0.2500,      7.0000,      0.0048,      0.0000
0005,04,20,      0.2500,      7.1000,      0.0008,      0.0000
0005,04,26,      0.2500,      2.8000,      0.0000,      0.0000
0005,05,01,      0.2500,     14.7000,      1.6908,    209.3388
0005,05,03,      0.2500,      2.4000,      0.0000,      0.0000
0005,05,04,      0.2500,     18.1000,      0.1135,     23.5743
0005,05,15,      0.2500,     30.1000,     11.7791,   1155.0542
