Year, Runoff(mm), Sediment Yield(Mg/ha)
   1,  21.1,   2.861
   2,  47.3,   4.883
   3,  28.5,   3.039
   4,  18.0,   2.403
   5,  25.9,   2.871
   6,  37.6,   5.444
   7,  51.2,   5.630
   8,  22.1,   2.561
   9,  10.1,   1.415
  10,   4.2,   0.648
  11,  37.1,   5.259
  12,  38.5,   3.412
  13,  43.2,   5.798
  14,  41.9,   6.074
  15,  67.5,   8.693
  16,  17.5,   1.880
  17,  24.4,   2.499
  18,  32.5,   4.386
  19,   7.3,   1.031
  20,   3.9,   0.473
  21,  55.1,   6.271
  22,  28.1,   3.157
  23,  56.0,   6.434
  24,  18.8,   2.767
  25,  11.2,   1.089
  26,  44.2,   4.793
  27,  24.1,   3.290
  28,  19.1,   2.269
  29,  45.0,   7.326
  30,  55.6,   7.173
  31,  57.1,   6.210
  32,  26.0,   3.682
  33,  26.8,   3.225
  34,   7.3,   1.150
  35,  18.2,   2.048
  36,   9.3,   1.425
  37,  17.8,   2.256
  38,   0.9,   0.189
  39,  46.1,   5.731
  40,   6.7,   0.774
  41,   6.9,   0.656
  42,  32.0,   3.635
  43,  17.7,   2.086
  44,  39.4,   5.734
  45,  58.4,   6.102
  46,  25.2,   2.880
  47,  59.2,   7.096
  48,  29.1,   3.558
  49,  84.1,  10.393
  50,   9.1,   1.208
  51,  20.3,   2.599
  52,  22.3,   2.786
  53,  22.0,   3.175
  54,  12.2,   1.263
  55,  57.7,   6.645
  56,  11.1,   1.065
  57,  32.6,   4.713
  58,  21.0,   2.138
  59,  33.8,   4.219
  60,  35.8,   4.773
  61,  25.5,   3.839
  62,  35.4,   3.711
  63,  16.5,   1.665
  64,  19.1,   2.636
  65,  22.4,   2.909
  66,  41.0,   5.096
  67,  24.8,   2.784
  68,  55.1,   5.869
  69,   9.3,   1.114
  70,  21.0,   2.618
  71,  30.4,   3.321
  72,  25.7,   2.886
  73,  22.8,   3.331
  74,  51.8,   7.236
  75,  17.2,   2.351
  76,   7.1,   1.039
  77,   9.4,   1.047
  78,  46.5,   4.757
  79,  30.5,   3.212
  80,  48.4,   5.795
  81,  28.8,   3.365
  82,  20.5,   2.141
  83,  58.1,   7.283
  84,  17.3,   2.042
  85,  48.3,   6.887
  86,  21.3,   2.699
  87,  54.7,   7.060
  88,  67.5,   7.640
  89,  17.7,   2.486
  90,  26.7,   4.161
  91,  12.1,   1.499
  92,  43.6,   4.934
  93,  30.9,   3.201
  94,  20.6,   2.513
  95,  11.6,   1.630
  96,  26.4,   2.908
  97,  25.0,   2.402
  98,  17.2,   2.458
  99,  14.0,   1.664
 100,  24.8,   2.642
 101,  44.5,   5.411
 102,  70.5,   7.124
 103,  24.1,   3.539
 104,  70.6,   7.933
 105,   8.5,   1.116
 106,   6.6,   0.638
 107,  31.2,   3.227
 108,  22.3,   3.776
 109,  44.0,   5.508
 110,  29.9,   3.304
 111,   7.6,   0.817
 112,  15.8,   1.807
 113,  13.1,   1.884
 114,  85.6,   9.253
 115,  12.5,   1.782
 116,  13.7,   1.533
 117,  46.9,   4.927
 118,  22.0,   2.681
 119, 110.7,  11.895
 120,  60.1,   7.380
 121,  20.6,   2.282
 122,  42.9,   6.872
 123,  61.3,   5.453
 124,  32.5,   3.530
 125,  38.7,   3.934
 126,  35.1,   3.860
 127,  29.6,   3.299
 128,  28.5,   3.596
 129,  18.7,   2.310
 130,  40.1,   4.683
 131,  43.9,   5.526
 132,  43.3,   6.215
 133,  29.9,   2.989
 134,  16.0,   1.741
 135,  20.3,   2.380
 136,  40.6,   3.680
 137,  26.0,   3.001
 138,  32.8,   3.000
 139, 106.2,  13.066
 140,  25.1,   3.934
 141,  14.8,   2.018
 142,  31.1,   3.627
 143,  28.1,   4.078
 144,  46.7,   5.026
 145,  33.1,   3.422
 146,  41.6,   5.488
 147,  80.9,  10.972
 148,  38.6,   6.150
 149,  49.3,   5.642
 150,   9.2,   0.819
 151,  29.2,   3.138
 152,  29.8,   3.378
 153,  19.0,   2.616
 154,  23.3,   2.324
 155,   9.3,   1.113
 156,  35.6,   4.381
 157,  21.9,   2.349
 158,  10.9,   1.365
 159,  33.5,   4.924
 160,  52.9,   5.754
 161,  49.2,   5.428
 162,  13.0,   1.557
 163,  31.8,   3.508
 164,  25.0,   3.043
 165,   9.3,   0.885
 166,  23.0,   2.127
 167,  43.8,   4.491
 168,  28.4,   3.547
 169,  18.7,   2.059
 170,  31.4,   3.725
 171,   9.8,   1.334
 172,  18.4,   2.207
 173,  17.0,   2.075
 174,  20.9,   2.890
 175,  62.2,   7.585
 176,  15.6,   2.378
 177,  41.5,   4.591
 178,  46.1,   5.937
 179,  18.3,   2.314
 180,  78.8,   8.300
 181,  40.5,   7.042
 182,  12.8,   1.724
 183,  14.7,   1.747
 184,  38.0,   4.636
 185,  23.7,   2.764
 186,  23.7,   2.524
 187,  70.0,   9.606
 188,  35.8,   4.219
 189,   8.9,   0.908
 190,  14.5,   1.560
 191,  26.6,   3.283
 192, 117.6,  15.682
 193,   1.6,   0.162
 194,  49.3,   5.372
 195,  19.2,   2.132
 196,  27.6,   4.347
 197,  25.6,   3.245
 198,  15.6,   2.371
 199,  22.9,   2.685
 200,  54.9,   5.344
 201,  30.5,   4.099
 202,  25.1,   2.712
 203,  10.7,   1.320
 204,  99.1,   9.105
 205,  18.2,   1.953
 206,  67.3,   6.410
 207,  62.6,   8.714
 208,   9.2,   1.164
 209,  23.9,   2.601
 210,   7.9,   1.144
 211,   9.0,   0.867
 212,  82.5,  10.003
 213,   1.5,   0.278
 214,  35.9,   3.723
 215,  25.9,   3.164
 216,  29.9,   3.359
 217,  23.5,   2.069
 218,  37.3,   5.153
 219,  41.3,   4.009
 220,  61.9,   6.479
 221,  40.5,   6.120
 222,  11.4,   1.499
 223,  27.0,   2.680
 224,   3.1,   0.397
 225,   9.3,   0.810
 226,  13.3,   1.681
 227,  46.1,   5.045
 228,  33.0,   3.513
 229,  35.2,   4.036
 230,  50.1,   7.439
 231,  38.0,   5.035
 232,  30.0,   3.735
 233,  83.4,  10.398
 234,  26.8,   3.970
 235,  10.3,   1.651
 236,  14.7,   1.851
 237,  16.9,   1.913
 238,  15.1,   1.554
 239,  45.5,   4.895
 240,  68.3,   8.752
 241,  18.5,   2.455
 242,  29.7,   3.639
 243,   5.0,   0.745
 244,  82.2,   7.917
 245,  11.2,   1.793
 246,  68.6,   7.603
 247,  24.4,   2.697
 248,  28.0,   3.707
 249,  60.6,   6.620
 250,  50.2,   6.643
 251,  47.2,   4.299
 252,  13.0,   1.740
 253,  45.7,   5.937
 254,  89.4,  12.555
 255,  18.5,   2.184
 256,  28.6,   3.553
 257,  30.6,   4.045
 258,  67.4,  10.689
 259,  14.9,   1.876
 260,  27.9,   3.119
 261,   4.9,   0.480
 262,  58.1,   8.221
 263,  58.2,   8.282
 264,  48.7,   6.184
 265,  33.3,   3.148
 266,  18.2,   2.308
 267,  48.9,   6.093
 268,  10.2,   1.201
 269,  66.6,   7.504
 270,   2.0,   0.369
 271,  27.6,   2.678
 272,  37.0,   4.670
 273,  12.9,   1.661
 274,  32.7,   4.259
 275,  33.7,   3.552
 276,  17.1,   1.645
 277,  27.9,   3.049
 278,  38.4,   4.527
 279,   1.6,   0.316
 280,  21.2,   2.237
 281,  26.8,   2.906
 282,  34.5,   3.627
 283,  44.4,   5.815
 284,   7.3,   1.084
 285,  54.0,   7.575
 286, 142.1,  17.279
 287,  33.0,   4.972
 288,  47.0,   5.589
 289,  12.9,   1.939
 290,  12.9,   1.777
 291,  19.4,   2.283
 292,  15.6,   3.013
 293,  89.5,  13.875
 294, 103.8,  12.848
 295,  17.3,   2.205
 296,   1.4,   0.181
 297,  14.6,   2.040
 298,  25.5,   2.616
 299,  31.0,   3.466
 Avg,  32.3,   3.918
