year,month,day,Rainfall Off Snow (mm),Rainfall On Snow (mm),Snowfall (mm),End of Day SWE (mm),Sublimation (mm),Snowmelt (mm),Net Water Input (mm),Ice Fraction,Saturation Fraction,Max Intensity (mm/30min)
1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,2.000,0.000,0.000,0.900,0.795,0.105,0.000,0.000,0.000,0.250,0.000
1.000,1.000,3.000,0.000,0.000,0.000,0.000,0.795,0.000,0.000,0.000,0.250,0.000
1.000,1.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,5.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,8.000,0.000,0.000,1.200,0.627,0.573,0.000,0.000,0.000,0.250,0.000
1.000,1.000,9.000,0.000,0.000,0.000,0.446,0.181,0.000,0.000,0.000,0.250,0.000
1.000,1.000,10.000,0.000,0.000,0.000,0.446,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,11.000,0.000,0.000,0.000,0.446,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,12.000,0.000,0.000,0.000,0.397,0.048,0.000,0.000,0.000,0.250,0.000
1.000,1.000,13.000,0.000,0.000,0.000,0.197,0.200,0.000,0.000,0.000,0.250,0.000
1.000,1.000,14.000,0.000,0.000,0.000,0.000,0.197,0.000,0.000,0.000,0.250,0.000
1.000,1.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,17.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,19.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,24.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,26.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,27.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,28.000,5.400,0.000,0.000,0.000,0.000,0.000,5.400,0.000,0.250,3.071
1.000,1.000,29.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,1.000,31.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,1.000,0.800,0.000,0.000,0.000,0.000,0.000,0.800,0.000,0.250,0.490
1.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,16.000,0.500,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.250,0.338
1.000,2.000,17.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,19.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,20.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.250,0.000
1.000,2.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,2.000,24.000,0.000,0.000,3.200,1.527,0.705,0.968,0.968,0.000,0.250,0.077
1.000,2.000,25.000,0.000,0.000,0.900,1.966,0.461,0.000,0.000,0.000,0.250,0.000
1.000,2.000,26.000,0.000,0.000,0.000,1.764,0.201,0.000,0.000,0.000,0.250,0.000
1.000,2.000,27.000,0.000,0.000,0.000,1.590,0.175,0.000,0.000,0.000,0.250,0.000
1.000,2.000,28.000,0.000,0.000,5.700,6.743,0.546,0.000,0.000,0.000,0.250,0.000
1.000,3.000,1.000,0.000,0.000,2.500,9.066,0.178,0.000,0.000,0.000,0.250,0.000
1.000,3.000,2.000,0.000,0.000,0.000,7.344,1.722,0.000,0.000,0.000,0.250,0.000
1.000,3.000,3.000,0.000,0.000,0.000,5.768,1.576,0.000,0.000,0.000,0.250,0.000
1.000,3.000,4.000,0.000,0.000,0.000,5.457,0.311,0.000,0.000,0.000,0.250,0.000
1.000,3.000,5.000,0.000,0.000,0.000,4.107,1.351,0.000,0.000,0.000,0.250,0.000
1.000,3.000,6.000,0.000,0.300,0.000,2.512,1.895,0.000,0.000,0.000,0.250,0.000
1.000,3.000,7.000,0.000,0.000,0.000,1.502,1.010,0.000,0.000,0.000,0.250,0.000
1.000,3.000,8.000,0.000,3.500,0.000,0.000,1.244,3.757,3.757,0.000,0.250,1.139
1.000,3.000,9.000,0.000,0.150,0.150,0.000,0.300,0.000,0.000,0.000,0.250,0.000
1.000,3.000,10.000,0.000,0.176,5.124,0.000,1.318,3.982,3.982,0.000,0.250,0.279
1.000,3.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,3.000,12.000,4.200,0.000,0.000,0.000,0.000,0.000,4.200,0.000,0.250,1.221
1.000,3.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,3.000,14.000,0.000,0.516,0.184,0.000,0.700,0.000,0.000,0.000,0.250,0.000
1.000,3.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,3.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,3.000,17.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,3.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,3.000,19.000,0.000,0.000,1.400,0.000,1.004,0.396,0.396,0.000,0.250,0.029
1.000,3.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
1.000,3.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000
