Site,RainThresh
ak500352,1
ak500546,1
ak500657,1
ak500754,1
ak500761,1
ak502102,1
ak502107,1
ak502177,1
ak502607,1
ak502968,1
ak503465,1
ak503665,1
ak504100,1
ak504546,1
ak504766,1
ak504812,1
ak504988,1
ak505076,1
ak505519,1
ak505733,1
ak505769,1
ak505778,1
ak506496,1
ak506586,1
ak508118,1
ak508371,1
ak508976,1
ak509014,1
ak509641,1
ak509941,1
al010252,-5
al010272,-5
al010369,-5
al010505,-5
al010583,-5
al010655,-5
al010831,-5
al011084,-4.8
al011566,-5
al011620,-5
al011694,-5
al012245,-5
al012758,-5
al012813,-5
al013154,-5
al013160,-5
al013511,-5
al013519,-5
al013620,-5
al013761,-5
al013775,-5
al014064,-5
al014502,-5
al015121,-5
al015478,-5
al015550,-5
al015635,-5
al015749,-5
al016121,-5
al016988,-3.6
al017131,-5
al017157,-5
al017207,-5
al017304,-5
al017366,-4.4
al018024,-5
al018178,-5
al018209,-5
al018323,-5
al018438,-5
al018469,-5
al018517,-5
al018998,-5
ar030064,-3.6
ar030130,-2.8
ar030220,-3.3
ar030458,-3
ar030460,-4.3
ar030536,-4.2
ar030582,-3.1
ar030764,-4.3
ar030798,-3.3
ar030806,-5
ar030936,-4.4
ar031102,-4
ar031132,-3.1
ar031152,-3.1
ar031596,-3
ar031632,-3.7
ar031730,-5
ar031838,-3
ar031948,-3.6
ar031968,-3.5
ar032148,-4
ar032300,-4.4
ar032366,-4.2
ar032443,-4
ar032444,-3.9
ar032540,-4.5
ar032574,-3.7
ar032794,-4
ar032930,-2.8
ar033242,-4.9
ar033428,-4.1
ar033466,-3.9
ar033734,-4.5
ar033862,-3.9
ar034106,-3.1
ar034248,-3
ar034548,-3.2
ar034562,-3.6
ar034572,-5
ar034638,-4.2
ar034756,-4.8
ar034900,-5
ar035036,-3.7
ar035112,-3.1
ar035186,-4.4
ar035200,-4.3
ar035754,-3.8
ar035820,-4.5
ar035866,-4.5
ar035908,-2.1
ar036376,-4.4
ar036506,-4.1
ar036768,-3.3
ar036920,-4.3
ar036928,-3.5
ar037488,-3.6
ar038052,-4.3
az020080,-5
az020159,2.3
az020287,-3.5
az020632,1.7
az020750,2.5
az020808,1.3
az020949,-2.1
az021001,4.1
az021314,-5
az021330,1.1
az021353,-1.2
az021654,-0.5
az022109,0.8
az022140,1
az022664,-0.5
az022754,-2.9
az023010,4.6
az023160,2.9
az023303,1.5
az023393,-5
az023683,2.5
az023961,3
az024453,4.7
az024675,-2.8
az024702,-5
az024829,-1.4
az025412,5
az025635,-1.5
az025924,1
az026132,-5
az026250,-5
az026323,2.6
az026468,-0.9
az026481,-5
az026796,3
az026801,0.5
az027281,1.3
az027390,0.2
az027435,-0.3
az027716,1.5
az028012,-0.1
az028162,0.2
az028214,-5
az028396,-5
az028499,-5
az028619,3
az028820,2.5
az028865,0.9
az029158,0.7
az029287,-0.7
az029334,0.6
az029359,4.7
az029439,-1.3
az029542,1.8
az029645,-0.9
az029654,-5
ca040136,1.3
ca040161,-1.3
ca040212,5
ca040343,1.1
ca040379,0.6
ca040383,-0.2
ca040442,-4.6
ca040449,3.9
ca040693,-5
ca040738,0.7
ca040822,-0.7
ca040924,-5
ca040927,-5
ca040931,2.6
ca040983,-5
ca041018,5
ca041072,2.1
ca041194,-5
ca041244,-5
ca041253,-5
ca041277,0.8
ca041316,-0.4
ca041424,-2.2
ca041428,-5
ca041484,-5
ca041497,1.6
ca041614,-1.5
ca041700,0.4
ca041715,-4.2
ca041758,-5
ca041838,-3.8
ca041864,-5
ca041912,0.6
ca041948,-3.2
ca042012,-2.1
ca042081,-3.9
ca042147,1
ca042239,3
ca042257,-2.4
ca042294,-5
ca042319,-5
ca042402,-3.6
ca042467,3.6
ca042500,1.6
ca042598,-5
ca042713,-5
ca042805,-5
ca042910,-2
ca042934,-4.7
ca042941,-0.5
ca043083,-5
ca043157,-0.5
ca043161,1
ca043182,-3.7
ca043191,1
ca043257,-4.9
ca043261,-4.4
ca043384,0.1
ca043463,0.6
ca043551,5
ca043578,-5
ca043710,-1.3
ca043714,-5
ca043747,-5
ca043761,-1
ca043824,-0.4
ca043855,-5
ca043914,-1.9
ca043939,4.3
ca044211,5
ca044223,-5
ca044232,-0.6
ca044297,-5
ca044374,3.4
ca044500,-5
ca044555,-5
ca044838,1
ca044890,-5
ca044957,-2.8
ca044997,-4.5
ca045032,-5
ca045064,-5
ca045114,-5
ca045115,-5
ca045118,-5
ca045123,-3
ca045233,-5
ca045311,3.4
ca045449,0.7
ca045502,-5
ca045532,-5
ca045679,1.9
ca045738,-4.5
ca045795,-5
ca045915,-1.2
ca045933,-5
ca045941,-1.7
ca045983,-0.3
ca046006,0.7
ca046074,-5
ca046118,-5
ca046136,0.3
ca046144,-5
ca046175,1
ca046252,-0.6
ca046377,1
ca046399,-5
ca046506,-5
ca046508,0.3
ca046624,-0.9
ca046635,-5
ca046646,-5
ca046657,1.3
ca046699,-5
ca046719,-5
ca046730,-5
ca046742,-5
ca046826,-5
ca046926,-2.6
ca046943,-5
ca047085,0.4
ca047109,-3.9
ca047253,1
ca047306,-5
ca047339,-5
ca047414,-5
ca047470,-5
ca047630,-5
ca047633,-5
ca047668,-5
ca047669,-5
ca047735,-0.7
ca047740,-5
ca047769,-5
ca047772,-5
ca047785,-5
ca047851,-5
ca047888,-5
ca047905,-5
ca047916,-5
ca047946,-5
ca047965,-5
ca048045,0.4
ca048135,-0.2
ca048218,0.2
ca048351,-5
ca048353,-1
ca048380,5
ca048558,-5
ca048560,-5
ca048587,-2.1
ca048606,1.7
ca048758,3.3
ca048839,-5
ca048892,-5
ca048917,1.2
ca048973,-5
ca048999,-5
ca049001,-5
ca049035,-3.4
ca049053,-1.7
ca049099,-5
ca049152,-5
ca049325,-2.1
ca049367,-2
ca049452,-2
ca049473,-5
ca049490,0.1
ca049699,-1.7
ca049742,-2.7
ca049781,-3.9
ca049855,4
ca049866,-1.8
co050109,5
co050114,5
co050130,4.2
co050214,5
co050263,4.3
co050454,5
co050834,4.6
co050848,5
co051071,5
co051121,4.8
co051179,5
co051401,5
co051458,3.9
co051528,5
co051564,4.9
co051609,5
co051660,5
co051713,4.3
co051772,3.6
co051778,5
co051886,1.6
co051959,5
co052184,5
co052220,5
co052281,5
co052932,5
co053005,5
co053016,3.2
co053246,2.2
co053359,4.6
co053488,-0.1
co053496,3.1
co053500,4.9
co053530,5
co053541,5
co053553,5
co053662,3
co053867,4.5
co053951,5
co054076,3.9
co054082,4.2
co054388,3.5
co054452,5
co054603,3.8
co054720,5
co054742,5
co054770,4.3
co054834,3.4
co054884,5
co054945,5
co055017,4.5
co055322,4.7
co055531,5
co055706,3.7
co055722,2.1
co056266,2.3
co056306,2.7
co056832,3.1
co057167,5
co057309,5
co057515,4.3
co057936,4.9
co058064,5
co058157,5
co058184,5
co058429,5
co058434,5
co058501,5
co058560,0.9
co058582,2.8
co058756,5
co058781,5
co058793,4
co058839,5
co058931,5
co059243,4.4
co059265,2.1
ct060806,-2.2
ct060973,-3.8
ct062658,-2.8
ct063451,-3.8
ct065445,-2.2
dc448906,-1.3
de072730,-2.2
de079595,-3.4
de079605,-3.4
fl080211,-5
fl080228,-0.1
fl080369,-1.3
fl080478,0.6
fl081276,-5
fl081544,-5
fl081641,-1.7
fl082008,-5
fl082158,-5
fl082229,-3.1
fl082850,1
fl082915,-5
fl082944,1
fl083163,-5
fl083186,-5
fl083207,-5
fl083470,-3.4
fl083909,-5
fl083956,-4.8
fl084289,-5
fl084358,-4.6
fl084366,1
fl084394,-5
fl084570,1
fl084625,-0.2
fl084731,-4
fl085099,-2.6
fl085275,-5
fl085539,-4.3
fl085612,0.3
fl085658,1
fl085663,-5
fl085895,-5
fl085973,-0.6
fl086065,0.7
fl086078,1
fl086240,-4.4
fl086414,-5
fl086842,-5
fl086880,-0.8
fl086997,-4.5
fl087025,-4.5
fl087205,-0.4
fl087851,-1.2
fl087886,1
fl088620,1
fl088758,-5
fl088788,-5
fl088824,1
fl088942,-2.9
fl089120,-5
fl089176,1
fl089219,-5
fl089401,-0.3
fl089430,-4.8
fl089525,-5
ga090140,-5
ga090211,-4.6
ga090311,-4.9
ga090435,-4.1
ga090451,-4.4
ga090495,-4.6
ga090969,-5
ga091266,-5
ga091340,-2.9
ga091345,-2.3
ga091500,-4
ga091640,-5
ga091665,-5
ga091732,-5
ga091982,-4.5
ga092153,-5
ga092166,-5
ga092266,-5
ga092283,-4.6
ga092450,-5
ga092485,-5
ga092783,-5
ga092966,-5
ga093060,-4.7
ga093465,-4
ga093538,-4.3
ga093621,-3.7
ga093754,-5
ga094133,-2.6
ga094170,-5
ga094429,-4.6
ga094648,-5
ga094941,-5
ga095314,-5
ga095443,-5
ga095874,-4.7
ga095988,-5
ga096087,-5
ga097600,-5
ga097777,-5
ga097808,-2.7
ga098064,-5
ga098535,-5
ga098703,-5
ga098740,-3.8
ga099141,-5
ga099157,-4.1
ga099186,-5
ga099194,-4.6
ga099291,-5
hi511004,1
hi511303,1
hi511492,1
hi511919,1
hi512679,1
hi512751,1
hi515580,1
hi516198,1
hi517166,1
ia130112,-1.8
ia130133,-1.6
ia130157,-0.9
ia130241,-1.5
ia130364,-2.3
ia130385,-1.7
ia130536,-1.7
ia130576,-1.7
ia130600,-2.3
ia130608,-3.8
ia130753,-2.4
ia130807,-1.6
ia130923,-2.3
ia131233,-1.2
ia131257,-3.2
ia131277,-0.9
ia131314,-3.3
ia131319,-2.3
ia131394,-2.2
ia131402,-2.2
ia131442,-1.5
ia131533,-2.8
ia131541,-2.1
ia131635,-3.5
ia131833,-2.8
ia131954,-2.2
ia132110,-2.4
ia132171,-2.4
ia132203,-2.7
ia132364,-2.9
ia132367,-3.6
ia132573,-2.6
ia132603,-2.5
ia132689,-0.9
ia132724,-0.3
ia132789,-3
ia132864,-3
ia132977,-1.8
ia132999,-1
ia133007,-4.1
ia133438,-2.4
ia133473,-3.2
ia133487,-2.5
ia133509,-2.3
ia133517,-3.4
ia133584,-1.7
ia133632,-1.5
ia133718,-0.5
ia134063,-2
ia134101,-2.4
ia134142,-1.7
ia134228,-0.9
ia134381,-4
ia134389,-3.1
ia134502,-2.4
ia134561,0.1
ia134705,-4.2
ia134735,0
ia134894,-1.7
ia135123,-5
ia135131,-3.7
ia135198,-2.8
ia135230,-1.9
ia135235,-1.5
ia135493,-2
ia135769,-2.4
ia135796,-3.6
ia135837,-3.7
ia135952,-1.5
ia135992,-2.6
ia136103,-1.6
ia136151,-1.1
ia136305,-1.1
ia136327,-2.9
ia136389,-2.4
ia136566,-2.1
ia136719,-0.5
ia136800,0.4
ia136940,-2.1
ia137147,-0.9
ia137161,-1.2
